,x t1,v t1
139,1179437718859.4297,-0.016573015193490706
140,1186846623311.656,-0.016532016032349967
141,1194255527763.882,-0.016490952943171006
142,1201664432216.1082,-0.016449826688792853
143,1209073336668.3342,-0.016408638018324026
144,1216482241120.5605,-0.016367387667469136
145,1223891145572.7864,-0.016326076358838218
146,1231300050025.0127,-0.01628470480226775
147,1238708954477.2388,-0.016243273695120512
148,1246117858929.4648,-0.016201783722574446
149,1253526763381.691,-0.01616023555790395
150,1260935667833.917,-0.016118629862767266
151,1268344572286.143,-0.016076967287464203
152,1275753476738.3694,-0.016035248471191962
153,1283162381190.5955,-0.015993474042311755
154,1290571285642.8215,-0.015951644618583866
155,1297980190095.0476,-0.015909760807404864
156,1305389094547.2737,-0.015867823206047696
157,1312797998999.4998,-0.01582583240188022
